target_episode,target_dataset_index,target_frame_index,target_time_s,target_tactile_score,target_gripper,replacement_episode,replacement_dataset_index,replacement_frame_index,replacement_time_s,replacement_tactile_score,replacement_gripper,abs_gripper_diff,other5_normalized_distance,shoulder_pan_diff,shoulder_lift_diff,elbow_flex_diff,wrist_flex_diff,wrist_roll_diff
34,24627,467,15.566666603088379,31545.6328125,10.730744361877441,4,3747,612,20.399999618530273,11695.5126953125,12.047399520874023,1.316655158996582,5.006476879119873,-3.530709981918335,-39.57805633544922,1.0704727172851562,100.57899475097656,-17.087783813476562
35,25214,387,12.899999618530273,51328.27734375,7.4391045570373535,5,3873,71,2.366666555404663,11747.0810546875,8.031599998474121,0.5924954414367676,3.98228120803833,-4.413387298583984,-133.83966064453125,108.7421875,20.01654052734375,5.105496406555176
36,25971,471,15.699999809265137,23285.650390625,11.520737648010254,5,4276,474,15.800000190734863,9082.1044921875,13.298222541809082,1.7774848937988281,2.2464170455932617,4.3398308753967285,-11.729961395263672,3.479034423828125,45.57485580444336,-2.8653295040130615
37,26637,440,14.666666984558105,25693.41796875,13.034891128540039,5,4249,447,14.899999618530273,11316.7880859375,13.298222541809082,0.26333141326904297,0.8632588386535645,-2.5009193420410156,-15.021097183227539,23.72881317138672,-10.173698425292969,0.7293567657470703
38,27161,305,10.166666984558105,50863.8671875,6.714943885803223,47,33097,61,2.0333333015441895,12066.72265625,5.990783214569092,0.7241606712341309,3.9621360301971436,-2.721588611602783,-85.40084075927734,42.90811538696289,69.5616226196289,-11.617609024047852
39,27679,360,12.0,41621.2734375,9.414088249206543,47,33099,63,2.0999999046325684,11456.75390625,7.7024359703063965,1.7116522789001465,5.0499138832092285,-0.5148952007293701,-63.54430389404297,20.51739501953125,92.14226531982422,-38.395416259765625
40,28355,449,14.966666221618652,44589.6875,5.5957865715026855,47,33097,61,2.0333333015441895,12066.72265625,5.990783214569092,0.39499664306640625,5.351606845855713,-25.156307220458984,-148.8607635498047,146.11953735351562,1.9851150512695312,-28.340713500976562
41,29141,564,18.799999237060547,37724.5703125,8.229098320007324,47,33098,62,2.066666603088379,11650.23828125,6.451612949371338,1.7774853706359863,4.606880187988281,-26.333209991455078,-104.89451599121094,56.556640625,49.462364196777344,-44.021881103515625
42,29948,518,17.266666412353516,27204.18359375,10.664911270141602,47,33100,64,2.133333444595337,11452.287109375,9.677419662475586,0.9874916076660156,2.6826725006103516,-3.3100404739379883,-10.126579284667969,10.704727172851562,34.325889587402344,-40.37509536743164
43,30583,350,11.666666984558105,44446.5625,5.92495059967041,44,31540,610,20.33333396911621,10294.6416015625,7.373271942138672,1.4483213424682617,4.596113681793213,-16.18242073059082,-140.59071350097656,129.17037963867188,4.631927490234375,17.504558563232422
44,31334,404,13.466666221618652,30691.76171875,10.928242683410645,33,23923,354,11.800000190734863,11133.9248046875,12.837392807006836,1.9091501235961914,2.6078059673309326,-0.3677816390991211,-54.34599304199219,78.23371887207031,-11.99338150024414,-21.62021255493164
45,32021,426,14.199999809265137,44002.45703125,7.8999342918396,47,33097,61,2.0333333015441895,12066.72265625,5.990783214569092,1.9091510772705078,3.4551360607147217,-4.192718029022217,-57.97468185424805,23.28277587890625,65.09512329101562,-10.679864883422852
46,32800,509,16.96666717529297,42871.77734375,5.727452278137207,47,33097,61,2.0333333015441895,12066.72265625,5.990783214569092,0.26333093643188477,4.981607913970947,-21.40492820739746,-147.6793212890625,141.30239868164062,9.26385498046875,8.543891906738281
47,33489,453,15.100000381469727,29592.9921875,9.21658992767334,5,3873,71,2.366666555404663,11747.0810546875,8.031599998474121,1.1849899291992188,3.8681704998016357,-19.19823455810547,-119.4092788696289,96.43175506591797,21.836227416992188,-0.15629076957702637
48,34347,563,18.766666412353516,36755.515625,10.467412948608398,47,33100,64,2.133333444595337,11452.287109375,9.677419662475586,0.7899932861328125,2.3376083374023438,-3.530709743499756,-0.337554931640625,0.4460296630859375,38.54425048828125,-27.09038734436035
49,35131,543,18.100000381469727,47330.23046875,6.056616306304932,5,3873,71,2.366666555404663,11747.0810546875,8.031599998474121,1.9749836921691895,3.672128200531006,-10.077234268188477,-112.8270034790039,71.45405578613281,41.85276794433594,14.326648712158203
