time_s,unix_time,gripper_command,gripper_position,gripper_error,present_current_raw,present_load_raw,present_voltage_raw,on_motor_total,not_motor_total,combined_total,asymmetry,abs_current,abs_load,aligned_time_s
0.7539548873901367,1788289410.6329324,56.022944550669216,56.19524405506884,-0.1722995043996249,0,24,118,4943.511298311468,1252.9316790895389,6196.442977401007,0.5955964789286062,0,24,0.7506716251373291
0.8040804862976074,1788289410.683058,56.022944550669216,56.19524405506884,-0.1722995043996249,0,24,117,4954.841549744825,1237.9035617323873,6192.745111477212,0.6002084570094316,0,24,0.8007972240447998
0.8540866374969482,1788289410.7330642,56.022944550669216,56.19524405506884,-0.1722995043996249,0,24,117,4946.302805680586,1251.386626838155,6197.689432518741,0.5961764007495317,0,24,0.8508033752441406
0.9040975570678712,1788289410.783075,56.022944550669216,56.19524405506884,-0.1722995043996249,0,24,118,4959.780634180416,1257.6666765937136,6217.44731077413,0.5954395385339832,0,24,0.9008142948150635
0.9542913436889648,1788289410.833269,56.022944550669216,56.19524405506884,-0.1722995043996249,0,24,118,4958.00586473875,1256.1395176657638,6214.145382404513,0.5957160831085317,0,24,0.9510080814361572
1.0043201446533203,1788289410.8832977,56.022944550669216,56.19524405506884,-0.1722995043996249,0,24,118,4954.213313027392,1247.5717381245804,6201.785051151973,0.5976733382938366,0,24,1.0010368824005127
1.0542891025543213,1788289410.9332666,56.022944550669216,56.19524405506884,-0.1722995043996249,1,24,118,4957.19741331811,1243.846753090745,6201.044166408856,0.5988266750852442,1,24,1.0510058403015137
1.1042943000793457,1788289410.9832718,56.022944550669216,56.19524405506884,-0.1722995043996249,0,24,118,4957.745589150079,1243.4848562044886,6201.230445354568,0.5989554437100458,0,24,1.101011037826538
1.154559850692749,1788289411.0335374,56.022944550669216,56.19524405506884,-0.1722995043996249,0,24,117,4958.352575413704,1249.140311370708,6207.492886784412,0.5975379000336529,0,24,1.1512765884399414
1.2046217918395996,1788289411.083599,56.022944550669216,56.19524405506884,-0.1722995043996249,0,24,118,4954.675919914879,1258.5740022151256,6213.249922130005,0.5948741743890238,0,24,1.201338291168213
1.2545528411865234,1788289411.1335304,56.022944550669216,56.19524405506884,-0.1722995043996249,0,24,117,4955.246550096377,1251.9489880095855,6207.195538105963,0.5966136461067246,0,24,1.2512695789337158
1.304802656173706,1788289411.1837802,56.022944550669216,56.19524405506884,-0.1722995043996249,0,24,118,4958.474132810007,1258.452050895979,6216.926183705986,0.5951529699052016,0,24,1.3015193939208984
1.3548612594604492,1788289411.2338388,56.022944550669216,56.19524405506884,-0.1722995043996249,0,24,118,4957.590387689868,1250.0474369006542,6207.6378245905225,0.5972550357403907,0,24,1.3515779972076416
1.4049110412597656,1788289411.2838886,56.022944550669216,56.19524405506884,-0.1722995043996249,1,24,117,4947.560453053196,1238.7758723844524,6186.336325437648,0.5995122776332997,1,24,1.401627779006958
1.4550409317016602,1788289411.3340185,56.022944550669216,56.19524405506884,-0.1722995043996249,0,24,117,4947.139143670572,1240.5859763013889,6187.72511997196,0.5990171016817857,0,24,1.4517576694488525
1.5051331520080566,1788289411.3841107,56.022944550669216,56.19524405506884,-0.1722995043996249,0,24,117,4956.5026306482,1242.4680344823469,6198.970665130546,0.5991373079174973,0,24,1.501849889755249
1.5550003051757812,1788289411.4339778,56.022944550669216,56.19524405506884,-0.1722995043996249,1,24,118,4961.326072854854,1254.4223457086257,6215.748418563479,0.5963728705742776,1,24,1.5517170429229736
1.6052110195159912,1788289411.4841886,56.022944550669216,56.19524405506884,-0.1722995043996249,0,24,118,4951.282160820354,1250.0096861908564,6201.291847011211,0.5968550692245473,0,24,1.6019277572631836
1.6553900241851809,1788289411.5343676,56.022944550669216,56.19524405506884,-0.1722995043996249,0,24,118,4952.157193444361,1253.240682267557,6205.397875711919,0.5960804746548896,0,24,1.652106761932373
1.7051513195037842,1788289411.5841289,56.022944550669216,56.19524405506884,-0.1722995043996249,0,24,118,4954.916084453131,1240.9964135581934,6195.912498011324,0.5994144804477111,0,24,1.7018680572509766
1.7555153369903564,1788289411.6344929,56.022944550669216,56.19524405506884,-0.1722995043996249,0,24,118,4960.52177881063,1242.5559009097,6203.077679720331,0.599374386372114,0,24,1.7522320747375488
1.8054533004760744,1788289411.6844308,56.022944550669216,56.19524405506884,-0.1722995043996249,1,24,117,4958.440726629611,1251.0606209208413,6209.501347550453,0.5970495693943719,1,24,1.8021700382232666
1.8553433418273928,1788289411.7343209,56.022944550669216,56.19524405506884,-0.1722995043996249,0,24,118,4951.501252521934,1246.9504373249813,6198.451689846915,0.5976574474662792,0,24,1.852060079574585
1.9056191444396973,1788289411.7845967,56.022944550669216,56.13266583229037,-0.1097212816211481,0,20,118,4964.444638936241,1258.1390452159335,6222.583684152175,0.5956216552233142,0,20,1.9023358821868896
1.9555389881134035,1788289411.8345163,56.022944550669216,56.13266583229037,-0.1097212816211481,0,20,117,4948.525312686337,1240.2390978169915,6188.764410503329,0.5991965389045651,0,20,1.9522554874420166
2.0053720474243164,1788289411.8843496,56.022944550669216,56.13266583229037,-0.1097212816211481,0,20,117,4948.989041575654,1242.5165344337704,6191.505576009424,0.5986383217522345,0,20,2.002088785171509
2.055591583251953,1788289411.9345691,56.022944550669216,56.13266583229037,-0.1097212816211481,0,20,118,4950.626038411929,1248.5395041900078,6199.165542601937,0.5971911072192576,0,20,2.0523083209991455
