time_s,unix_time,gripper_command,gripper_position,gripper_error,present_current_raw,present_load_raw,present_voltage_raw,on_motor_total,not_motor_total,combined_total,asymmetry,abs_current,abs_load,aligned_time_s,eflesh_smooth,current_smooth,voltage_smooth,position_smooth,eflesh_above_contact,actual_extra_closure,rigid_equivalent,estimated_deformation,squeeze
32.59581136703491,1788289442.474789,18.54684512428298,21.526908635794744,-2.980063511511762,5,152,117,9510.904169376658,6767.590592716433,16278.49476209309,0.168523786551103,5,152,32.592528104782104,16278.49476209309,3.0,117.0,21.526908635794744,716.4969648855058,0.37546933667083593,0.21125948692519883,0.1642098497456371,2
32.64619469642639,1788289442.5251722,18.35564053537285,20.713391739674595,-2.3577512043017457,8,152,117,10631.729693621392,8540.512557250706,19172.2422508721,0.1090752510325474,8,152,32.642911434173584,19172.2422508721,4.0,117.0,20.713391739674595,3610.2444536645144,1.1889862327909846,2.527365069875251,-1.3383788370842664,2
32.695993423461914,1788289442.574971,18.35564053537285,19.96245306633292,-1.6068125309600667,3,100,117,11388.413976653328,9612.365631570392,21000.77960822372,0.0845705911026013,3,100,32.692710161209106,21000.77960822372,4.0,117.0,19.96245306633292,5438.781811016133,1.93992490613266,2.6669490362991453,-0.7270241301664853,2
32.74929976463318,1788289442.6282773,18.35564053537285,19.774718397997496,-1.419077862624647,4,100,118,11822.898608105355,10063.126644703943,21886.0252528093,0.0804061926765587,4,100,32.74601650238037,21886.0252528093,4.0,117.0,19.774718397997496,6324.027455601716,2.1276595744680833,3.029078256073091,-0.9014186816050076,2
32.79647660255432,1788289442.675454,18.036966220522626,19.712140175219023,-1.6751739546963975,4,100,118,11841.574704301724,10112.582394029749,21954.15709833148,0.0787546660310353,4,100,32.793193101882935,21954.15709833148,4.0,117.0,19.712140175219023,6392.1593011238965,2.1902377972465565,3.104159549838534,-0.9139217525919774,2
32.846593141555786,1788289442.725571,17.909496494582537,19.58698372966208,-1.6774872350795391,4,104,117,12142.218170365712,10436.367638143636,22578.58580850935,0.0755516995922384,4,104,32.84331011772156,22578.58580850935,4.0,117.0,19.58698372966208,7016.588011301765,2.3153942428034995,3.781066492814552,-1.4656722500110524,2
32.89697504043579,1788289442.7759526,17.909496494582537,19.336670838548184,-1.427174343965646,4,100,117,12393.26114121742,10721.362012995192,23114.62315421261,0.0723307975677521,4,100,32.89369177818298,23114.62315421261,4.0,117.0,19.336670838548184,7552.625357005027,2.565707133917396,4.009418402084141,-1.4437112681667452,2
32.946566343307495,1788289442.825544,17.909496494582537,19.27409261576971,-1.3645961211871729,4,96,117,12560.288412801085,10905.466647702233,23465.75506050332,0.0705207124523423,4,96,32.94328331947327,23465.75506050332,4.0,117.0,19.27409261576971,7903.757263295736,2.6282853566958693,4.159000594163984,-1.5307152374681143,2
32.99719595909119,1788289442.8761735,17.845761631612493,19.27409261576971,-1.428330984157217,4,104,117,12575.8203519803,10930.566281104428,23506.38663308473,0.0699917897445034,4,104,32.99391269683838,23506.38663308473,4.0,117.0,19.27409261576971,7944.3888358771455,2.6282853566958693,4.1763096440836645,-1.5480242873877952,2
33.04681086540222,1788289442.9257884,17.845761631612493,19.27409261576971,-1.428330984157217,4,104,117,12594.585187847111,10943.936963456856,23538.52215130397,0.0701253975835867,4,104,33.043527603149414,23536.206324233342,4.0,117.0,19.27409261576971,7974.208527025758,2.6282853566958693,4.189012832512973,-1.560727475817104,2
33.09700536727905,1788289442.975983,17.845761631612493,19.27409261576971,-1.428330984157217,4,104,118,12602.871546367176,10933.33477786617,23536.206324233342,0.0709348288972984,4,104,33.093722105026245,23538.52215130397,4.0,117.0,19.27409261576971,7976.524354096384,2.6282853566958693,4.18999937484506,-1.5617140181491909,2
